index,case:concept:name,activity,type,act_str
171,case_118C1,"[0, 1, 2, 7, 0, 5, 6, 7, 0, 3, 4, 7]",C1,"[0, 1, 2, 7, 0, 5, 6, 7, 0, 3, 4, 7]"
114,case_110C1,"[0, 1, 2, 7, 0, 5, 6, 7, 0, 3, 4, 7, 0, 3, 4, 7, 0, 5, 6, 7, 0, 3, 4, 7]",C1,"[0, 1, 2, 7, 0, 5, 6, 7, 0, 3, 4, 7, 0, 3, 4, 7, 0, 5, 6, 7, 0, 3, 4, 7]"
104,case_10C1,"[0, 1, 2, 7, 0, 3, 4, 7, 0, 5, 6, 7, 0, 3, 4, 7, 0, 5, 6, 7]",C1,"[0, 1, 2, 7, 0, 3, 4, 7, 0, 5, 6, 7, 0, 3, 4, 7, 0, 5, 6, 7]"
230,case_126C1,"[0, 1, 2, 7, 0, 5, 6, 7, 0, 5, 6, 7, 0, 3, 4, 7]",C1,"[0, 1, 2, 7, 0, 5, 6, 7, 0, 5, 6, 7, 0, 3, 4, 7]"
371,case_145C1,"[0, 1, 2, 7, 0, 5, 6, 7, 0, 5, 6, 7, 0, 5, 6, 7, 0, 3, 4, 7, 0, 5, 6, 7]",C1,"[0, 1, 2, 7, 0, 5, 6, 7, 0, 5, 6, 7, 0, 5, 6, 7, 0, 3, 4, 7, 0, 5, 6, 7]"
317,case_138C1,"[0, 1, 2, 7, 0, 5, 6, 7, 0, 3, 4, 7, 0, 3, 4, 7]",C1,"[0, 1, 2, 7, 0, 5, 6, 7, 0, 3, 4, 7, 0, 3, 4, 7]"
469,case_208C1,"[0, 1, 2, 7, 0, 5, 6, 7, 0, 5, 6, 7, 0, 3, 4, 7, 0, 5, 6, 7]",C1,"[0, 1, 2, 7, 0, 5, 6, 7, 0, 5, 6, 7, 0, 3, 4, 7, 0, 5, 6, 7]"
0,case_0C1,"[0, 1, 2, 7, 0, 3, 4, 7]",C1,"[0, 1, 2, 7, 0, 3, 4, 7]"
468,case_207C1,"[0, 1, 2, 7, 0, 3, 4, 7, 0, 5, 6, 7, 0, 3, 4, 7, 0, 5, 6, 7, 0, 5, 6, 7]",C1,"[0, 1, 2, 7, 0, 3, 4, 7, 0, 5, 6, 7, 0, 3, 4, 7, 0, 5, 6, 7, 0, 5, 6, 7]"
507,case_240C1,"[0, 1, 2, 7, 0, 3, 4, 7, 0, 5, 6, 7, 0, 5, 6, 7, 0, 3, 4, 7, 0, 3, 4, 7]",C1,"[0, 1, 2, 7, 0, 3, 4, 7, 0, 5, 6, 7, 0, 5, 6, 7, 0, 3, 4, 7, 0, 3, 4, 7]"
441,case_187C1,"[0, 1, 2, 7, 0, 3, 4, 7, 0, 3, 4, 7, 0, 5, 6, 7, 0, 3, 4, 7]",C1,"[0, 1, 2, 7, 0, 3, 4, 7, 0, 3, 4, 7, 0, 5, 6, 7, 0, 3, 4, 7]"
487,case_227C1,"[0, 1, 2, 7, 0, 3, 4, 7, 0, 3, 4, 7, 0, 5, 6, 7, 0, 5, 6, 7, 0, 3, 4, 7]",C1,"[0, 1, 2, 7, 0, 3, 4, 7, 0, 3, 4, 7, 0, 5, 6, 7, 0, 5, 6, 7, 0, 3, 4, 7]"
54,case_104C1,"[0, 1, 2, 7, 0, 3, 4, 7, 0, 3, 4, 7]",C1,"[0, 1, 2, 7, 0, 3, 4, 7, 0, 3, 4, 7]"
452,case_192C1,"[0, 1, 2, 7, 0, 3, 4, 7, 0, 3, 4, 7, 0, 3, 4, 7, 0, 3, 4, 7, 0, 5, 6, 7]",C1,"[0, 1, 2, 7, 0, 3, 4, 7, 0, 3, 4, 7, 0, 3, 4, 7, 0, 3, 4, 7, 0, 5, 6, 7]"
398,case_14C1,"[0, 1, 2, 7, 0, 3, 4, 7, 0, 3, 4, 7, 0, 5, 6, 7, 0, 5, 6, 7, 0, 5, 6, 7]",C1,"[0, 1, 2, 7, 0, 3, 4, 7, 0, 3, 4, 7, 0, 5, 6, 7, 0, 5, 6, 7, 0, 5, 6, 7]"
421,case_166C1,"[0, 1, 2, 7, 0, 5, 6, 7, 0, 5, 6, 7, 0, 3, 4, 7, 0, 3, 4, 7, 0, 3, 4, 7]",C1,"[0, 1, 2, 7, 0, 5, 6, 7, 0, 5, 6, 7, 0, 3, 4, 7, 0, 3, 4, 7, 0, 3, 4, 7]"
150,case_115C1,"[0, 1, 2, 7, 0, 5, 6, 7, 0, 3, 4, 7, 0, 3, 4, 7, 0, 5, 6, 7, 0, 5, 6, 7]",C1,"[0, 1, 2, 7, 0, 5, 6, 7, 0, 3, 4, 7, 0, 3, 4, 7, 0, 5, 6, 7, 0, 5, 6, 7]"
