index,case:concept:name,activity,type,act_str
398,case_14C1,"[0, 1, 2, 7, 0, 3, 4, 7, 0, 3, 4, 7, 0, 5, 6, 7, 0, 5, 6, 7, 0, 5, 6, 7]",C1,"[0, 1, 2, 7, 0, 3, 4, 7, 0, 3, 4, 7, 0, 5, 6, 7, 0, 5, 6, 7, 0, 5, 6, 7]"
317,case_138C1,"[0, 1, 2, 7, 0, 5, 6, 7, 0, 3, 4, 7, 0, 3, 4, 7]",C1,"[0, 1, 2, 7, 0, 5, 6, 7, 0, 3, 4, 7, 0, 3, 4, 7]"
691,case_50C1,"[0, 1, 2, 7, 0, 3, 4, 7, 0, 3, 4, 7, 0, 5, 6, 7, 0, 3, 4, 7, 0, 5, 6, 7]",C1,"[0, 1, 2, 7, 0, 3, 4, 7, 0, 3, 4, 7, 0, 5, 6, 7, 0, 3, 4, 7, 0, 5, 6, 7]"
407,case_157C1,"[0, 1, 2, 7, 0, 3, 4, 7, 0, 5, 6, 7, 0, 5, 6, 7]",C1,"[0, 1, 2, 7, 0, 3, 4, 7, 0, 5, 6, 7, 0, 5, 6, 7]"
104,case_10C1,"[0, 1, 2, 7, 0, 3, 4, 7, 0, 5, 6, 7, 0, 3, 4, 7, 0, 5, 6, 7]",C1,"[0, 1, 2, 7, 0, 3, 4, 7, 0, 5, 6, 7, 0, 3, 4, 7, 0, 5, 6, 7]"
144,case_114C1,"[0, 1, 2, 7, 0, 3, 4, 7, 0, 5, 6, 7, 0, 3, 4, 7, 0, 3, 4, 7, 0, 5, 6, 7]",C1,"[0, 1, 2, 7, 0, 3, 4, 7, 0, 5, 6, 7, 0, 3, 4, 7, 0, 3, 4, 7, 0, 5, 6, 7]"
514,case_251C1,"[0, 1, 2, 7, 0, 3, 4, 7, 0, 5, 6, 7, 0, 3, 4, 7]",C1,"[0, 1, 2, 7, 0, 3, 4, 7, 0, 5, 6, 7, 0, 3, 4, 7]"
23,case_101C1,"[0, 1, 2, 7, 0, 5, 6, 7, 0, 5, 6, 7]",C1,"[0, 1, 2, 7, 0, 5, 6, 7, 0, 5, 6, 7]"
806,case_71C1,"[0, 1, 2, 7, 0, 5, 6, 7, 0, 3, 4, 7, 0, 5, 6, 7, 0, 5, 6, 7, 0, 5, 6, 7]",C1,"[0, 1, 2, 7, 0, 5, 6, 7, 0, 3, 4, 7, 0, 5, 6, 7, 0, 5, 6, 7, 0, 5, 6, 7]"
171,case_118C1,"[0, 1, 2, 7, 0, 5, 6, 7, 0, 3, 4, 7]",C1,"[0, 1, 2, 7, 0, 5, 6, 7, 0, 3, 4, 7]"
469,case_208C1,"[0, 1, 2, 7, 0, 5, 6, 7, 0, 5, 6, 7, 0, 3, 4, 7, 0, 5, 6, 7]",C1,"[0, 1, 2, 7, 0, 5, 6, 7, 0, 5, 6, 7, 0, 3, 4, 7, 0, 5, 6, 7]"
371,case_145C1,"[0, 1, 2, 7, 0, 5, 6, 7, 0, 5, 6, 7, 0, 5, 6, 7, 0, 3, 4, 7, 0, 5, 6, 7]",C1,"[0, 1, 2, 7, 0, 5, 6, 7, 0, 5, 6, 7, 0, 5, 6, 7, 0, 3, 4, 7, 0, 5, 6, 7]"
150,case_115C1,"[0, 1, 2, 7, 0, 5, 6, 7, 0, 3, 4, 7, 0, 3, 4, 7, 0, 5, 6, 7, 0, 5, 6, 7]",C1,"[0, 1, 2, 7, 0, 5, 6, 7, 0, 3, 4, 7, 0, 3, 4, 7, 0, 5, 6, 7, 0, 5, 6, 7]"
485,case_223C1,"[0, 1, 2, 7, 0, 5, 6, 7, 0, 5, 6, 7, 0, 5, 6, 7, 0, 3, 4, 7]",C1,"[0, 1, 2, 7, 0, 5, 6, 7, 0, 5, 6, 7, 0, 5, 6, 7, 0, 3, 4, 7]"
541,case_279C1,"[0, 1, 2, 7, 0, 5, 6, 7, 0, 3, 4, 7, 0, 3, 4, 7, 0, 5, 6, 7]",C1,"[0, 1, 2, 7, 0, 5, 6, 7, 0, 3, 4, 7, 0, 3, 4, 7, 0, 5, 6, 7]"
441,case_187C1,"[0, 1, 2, 7, 0, 3, 4, 7, 0, 3, 4, 7, 0, 5, 6, 7, 0, 3, 4, 7]",C1,"[0, 1, 2, 7, 0, 3, 4, 7, 0, 3, 4, 7, 0, 5, 6, 7, 0, 3, 4, 7]"
487,case_227C1,"[0, 1, 2, 7, 0, 3, 4, 7, 0, 3, 4, 7, 0, 5, 6, 7, 0, 5, 6, 7, 0, 3, 4, 7]",C1,"[0, 1, 2, 7, 0, 3, 4, 7, 0, 3, 4, 7, 0, 5, 6, 7, 0, 5, 6, 7, 0, 3, 4, 7]"
260,case_12C1,"[0, 1, 2, 7, 0, 3, 4, 7, 0, 3, 4, 7, 0, 3, 4, 7]",C1,"[0, 1, 2, 7, 0, 3, 4, 7, 0, 3, 4, 7, 0, 3, 4, 7]"
0,case_0C1,"[0, 1, 2, 7, 0, 3, 4, 7]",C1,"[0, 1, 2, 7, 0, 3, 4, 7]"
478,case_215C1,"[0, 1, 2, 7, 0, 3, 4, 7, 0, 5, 6, 7, 0, 5, 6, 7, 0, 5, 6, 7, 0, 5, 6, 7]",C1,"[0, 1, 2, 7, 0, 3, 4, 7, 0, 5, 6, 7, 0, 5, 6, 7, 0, 5, 6, 7, 0, 5, 6, 7]"
825,case_75C1,"[0, 1, 2, 7, 0, 5, 6, 7, 0, 5, 6, 7, 0, 3, 4, 7, 0, 5, 6, 7, 0, 5, 6, 7]",C1,"[0, 1, 2, 7, 0, 5, 6, 7, 0, 5, 6, 7, 0, 3, 4, 7, 0, 5, 6, 7, 0, 5, 6, 7]"
411,case_15C1,"[0, 1, 2, 7, 0, 5, 6, 7, 0, 5, 6, 7, 0, 5, 6, 7, 0, 5, 6, 7, 0, 3, 4, 7]",C1,"[0, 1, 2, 7, 0, 5, 6, 7, 0, 5, 6, 7, 0, 5, 6, 7, 0, 5, 6, 7, 0, 3, 4, 7]"
527,case_261C1,"[0, 1, 2, 7, 0, 5, 6, 7, 0, 3, 4, 7, 0, 5, 6, 7, 0, 5, 6, 7]",C1,"[0, 1, 2, 7, 0, 5, 6, 7, 0, 3, 4, 7, 0, 5, 6, 7, 0, 5, 6, 7]"
45,case_103C1,"[0, 1, 2, 7, 0, 5, 6, 7, 0, 3, 4, 7, 0, 3, 4, 7, 0, 3, 4, 7, 0, 5, 6, 7]",C1,"[0, 1, 2, 7, 0, 5, 6, 7, 0, 3, 4, 7, 0, 3, 4, 7, 0, 3, 4, 7, 0, 5, 6, 7]"
539,case_275C1,"[0, 1, 2, 7, 0, 3, 4, 7, 0, 3, 4, 7, 0, 3, 4, 7, 0, 5, 6, 7]",C1,"[0, 1, 2, 7, 0, 3, 4, 7, 0, 3, 4, 7, 0, 3, 4, 7, 0, 5, 6, 7]"
222,case_125C3,"[8, 9, 10, 15, 8, 13, 14, 15, 8, 11, 12, 15, 8, 13, 14, 15]",C2,"[8, 9, 10, 15, 8, 13, 14, 15, 8, 11, 12, 15, 8, 13, 14, 15]"
520,case_259C3,"[8, 9, 10, 15, 8, 13, 14, 15, 8, 13, 14, 15, 8, 13, 14, 15]",C2,"[8, 9, 10, 15, 8, 13, 14, 15, 8, 13, 14, 15, 8, 13, 14, 15]"
35,case_102C3,"[8, 9, 10, 15, 8, 13, 14, 15]",C2,"[8, 9, 10, 15, 8, 13, 14, 15]"
46,case_103C3,"[8, 9, 10, 15, 8, 13, 14, 15, 8, 13, 14, 15, 8, 11, 12, 15, 8, 11, 12, 15, 8, 11, 12, 15]",C2,"[8, 9, 10, 15, 8, 13, 14, 15, 8, 13, 14, 15, 8, 11, 12, 15, 8, 11, 12, 15, 8, 11, 12, 15]"
528,case_262C3,"[8, 9, 10, 15, 8, 11, 12, 15, 8, 11, 12, 15, 8, 11, 12, 15, 8, 13, 14, 15, 8, 11, 12, 15]",C2,"[8, 9, 10, 15, 8, 11, 12, 15, 8, 11, 12, 15, 8, 11, 12, 15, 8, 13, 14, 15, 8, 11, 12, 15]"
409,case_157C3,"[8, 9, 10, 15, 8, 11, 12, 15, 8, 11, 12, 15, 8, 13, 14, 15]",C2,"[8, 9, 10, 15, 8, 11, 12, 15, 8, 11, 12, 15, 8, 13, 14, 15]"
403,case_153C3,"[8, 9, 10, 15, 8, 13, 14, 15, 8, 13, 14, 15, 8, 11, 12, 15]",C2,"[8, 9, 10, 15, 8, 13, 14, 15, 8, 13, 14, 15, 8, 11, 12, 15]"
442,case_187C3,"[8, 9, 10, 15, 8, 13, 14, 15, 8, 11, 12, 15, 8, 11, 12, 15, 8, 13, 14, 15]",C2,"[8, 9, 10, 15, 8, 13, 14, 15, 8, 11, 12, 15, 8, 11, 12, 15, 8, 13, 14, 15]"
318,case_138C3,"[8, 9, 10, 15, 8, 13, 14, 15, 8, 13, 14, 15, 8, 11, 12, 15, 8, 13, 14, 15, 8, 11, 12, 15]",C2,"[8, 9, 10, 15, 8, 13, 14, 15, 8, 13, 14, 15, 8, 11, 12, 15, 8, 13, 14, 15, 8, 11, 12, 15]"
232,case_126C3,"[8, 9, 10, 15, 8, 11, 12, 15, 8, 11, 12, 15, 8, 11, 12, 15, 8, 13, 14, 15]",C2,"[8, 9, 10, 15, 8, 11, 12, 15, 8, 11, 12, 15, 8, 11, 12, 15, 8, 13, 14, 15]"
152,case_115C3,"[8, 9, 10, 15, 8, 11, 12, 15, 8, 13, 14, 15, 8, 11, 12, 15, 8, 11, 12, 15, 8, 13, 14, 15]",C2,"[8, 9, 10, 15, 8, 11, 12, 15, 8, 13, 14, 15, 8, 11, 12, 15, 8, 11, 12, 15, 8, 13, 14, 15]"
73,case_106C3,"[8, 9, 10, 15, 8, 11, 12, 15, 8, 13, 14, 15, 8, 13, 14, 15]",C2,"[8, 9, 10, 15, 8, 11, 12, 15, 8, 13, 14, 15, 8, 13, 14, 15]"
132,case_112C3,"[8, 9, 10, 15, 8, 13, 14, 15, 8, 11, 12, 15]",C2,"[8, 9, 10, 15, 8, 13, 14, 15, 8, 11, 12, 15]"
386,case_148C3,"[8, 9, 10, 15, 8, 13, 14, 15, 8, 13, 14, 15, 8, 13, 14, 15, 8, 13, 14, 15]",C2,"[8, 9, 10, 15, 8, 13, 14, 15, 8, 13, 14, 15, 8, 13, 14, 15, 8, 13, 14, 15]"
192,case_120C3,"[8, 9, 10, 15, 8, 13, 14, 15, 8, 11, 12, 15, 8, 11, 12, 15]",C2,"[8, 9, 10, 15, 8, 13, 14, 15, 8, 11, 12, 15, 8, 11, 12, 15]"
271,case_131C3,"[8, 9, 10, 15, 8, 11, 12, 15, 8, 11, 12, 15, 8, 11, 12, 15, 8, 11, 12, 15]",C2,"[8, 9, 10, 15, 8, 11, 12, 15, 8, 11, 12, 15, 8, 11, 12, 15, 8, 11, 12, 15]"
551,case_288C3,"[8, 9, 10, 15, 8, 11, 12, 15, 8, 13, 14, 15, 8, 13, 14, 15, 8, 13, 14, 15]",C2,"[8, 9, 10, 15, 8, 11, 12, 15, 8, 13, 14, 15, 8, 13, 14, 15, 8, 13, 14, 15]"
56,case_104C3,"[8, 9, 10, 15, 8, 13, 14, 15, 8, 13, 14, 15, 8, 13, 14, 15, 8, 13, 14, 15, 8, 11, 12, 15]",C2,"[8, 9, 10, 15, 8, 13, 14, 15, 8, 13, 14, 15, 8, 13, 14, 15, 8, 13, 14, 15, 8, 11, 12, 15]"
548,case_281C3,"[8, 9, 10, 15, 8, 13, 14, 15, 8, 13, 14, 15, 8, 11, 12, 15, 8, 13, 14, 15]",C2,"[8, 9, 10, 15, 8, 13, 14, 15, 8, 13, 14, 15, 8, 11, 12, 15, 8, 13, 14, 15]"
768,case_65C3,"[8, 9, 10, 15, 8, 13, 14, 15, 8, 11, 12, 15, 8, 13, 14, 15, 8, 11, 12, 15]",C2,"[8, 9, 10, 15, 8, 13, 14, 15, 8, 11, 12, 15, 8, 13, 14, 15, 8, 11, 12, 15]"
427,case_17C3,"[8, 9, 10, 15, 8, 13, 14, 15, 8, 11, 12, 15, 8, 13, 14, 15, 8, 13, 14, 15, 8, 11, 12, 15]",C2,"[8, 9, 10, 15, 8, 13, 14, 15, 8, 11, 12, 15, 8, 13, 14, 15, 8, 13, 14, 15, 8, 11, 12, 15]"
